Date/Time,Electricity:Facility [J](Hourly),Heating:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),ExteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),ExteriorEquipment:Electricity [J](Hourly),Fans:Electricity [J](Hourly),Pumps:Electricity [J](Hourly),HeatRejection:Electricity [J](Hourly),Gas:Facility [J](Hourly),Heating:Gas [J](Hourly),WaterSystems:Gas [J](Hourly) 
 08/17  02:00:00,1035970925.6428205,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,43999912.087912078,0.0,8035.050259985898,0.0,7881243.886418208,0.0,7881243.886418208 
 08/17  03:00:00,1035970922.1664081,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,43999912.087912078,0.0,8031.573847560792,0.0,7880766.500015627,0.0,7880766.500015627 
 08/17  04:00:00,1079970834.6635497,0.0,0.0,89713308.72273873,184543200.0,717706469.7819098,87999824.17582415,0.0,8031.983076785658,0.0,72000.0,0.0,72000.0 
 08/17  05:00:00,1257688788.6951669,0.0,0.0,179426617.44547747,184543200.0,717706469.7819098,175999648.3516483,0.0,12853.116131416076,0.0,15705606.922106408,0.0,15705606.922106408 
 08/17  06:00:00,1891899445.7287036,0.0,172892966.083389,179426617.44547747,92271600.0,717706469.7819098,351999296.7032966,110313790.2065515,150384297.6829062,116904407.82517325,839502735.8978787,831617434.2161874,7885301.681691316 
 08/17  07:00:00,2262198131.5652568,0.0,191506224.26318873,538279852.336432,0.0,717706469.7819098,439999120.8791207,103907369.5922554,153894686.8871765,116904407.82517325,798966576.4455817,775363648.9853739,23602927.46020776 
 08/17  08:00:00,4255423952.520119,0.0,209998843.88929529,1614839557.0092962,0.0,1614839557.0092962,439999120.8791207,103907369.5922554,154935096.3156811,116904407.82517325,343462752.07987776,296078013.9075458,47384738.17233192 
 08/17  09:00:00,4150509790.0580027,0.0,234877313.25753794,1614839557.0092962,0.0,1614839557.0092962,307999384.6153846,103907369.5922554,157142200.74905876,116904407.82517325,177580798.12464873,130152990.41207724,47427807.7125715 
 08/17  10:00:00,3968087775.5989987,0.0,229953083.19593115,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,104342165.70734522,155209268.58821959,116904407.82517325,65589605.42279999,18136532.45837396,47453072.96442603 
 08/17  11:00:00,3995459973.0035927,0.0,252546020.5982555,1614839557.0092962,0.0,1614839557.0092962,131999736.26373624,106364714.10737707,157965980.19045756,116904407.82517325,66415484.24472586,3011845.274193739,63403638.97053212 
